"","salinity","temperature","oxygen","fluo"
"781712",33.122,11.795,6.08,0.260071387985075
"781714",33.246,11.789,6.13,0.250420002308894
"781716",33.277,11.883,6.23,0.262451089730429
"781719",33.261,11.893,6.27,0.267171728403014
"781722",33.263,11.904,6.16,0.290034611362518
"781724",33.32,11.816,5.99,0.320146286111054
"781726",33.575,11.779,6.19,0.290034611362518
"781729",33.359,11.94,6.44,0.290034611362518
"781731",33.597,11.813,6.27,0.33645973384853
"781733",33.689,11.824,6.1,0.311753861055754
"781735",33.653,11.831,6.25,0.352182518111362
"781737",33.679,11.902,6.3,0.313867220369153
"781740",33.832,11.735,6.1,0.328379603438738
"781742",33.874,11.74,6.01,0.313867220369153
"781745",33.874,11.769,6.16,0.33645973384853
"781747",33.749,11.847,6.23,0.359835482339888
"781750",33.757,11.802,6.06,0.372912002970107
"781752",33.795,11.723,6.05,0.342422680822206
"781754",33.751,11.695,6.06,0.383815365980431
"781756",33.72,11.688,6.16,0.390935107103379
"781759",33.656,11.702,6.1,0.447158031342219
"781762",33.605,11.724,6.21,0.432969290874406
"781765",33.643,11.712,6.22,0.385606273598312
"781767",33.635,11.716,6.16,0.44870631990508
"781769",33.614,11.724,6.23,0.436162647040756
"781772",33.645,11.713,6.06,0.423245873936808
"781774",33.595,11.727,6.21,0.40823996531185
"781776",33.625,11.712,6.11,0.424881636631067
"781779",33.654,11.7,6.03,0.380211241711606
"781781",33.59,11.708,6,0.390935107103379
"781783",33.615,11.688,6.11,0.378397900948138
"781785",33.621,11.69,6.12,0.390935107103379
"781788",33.632,11.692,6.1,0.369215857410143
"781791",33.353,11.758,6.1,0.421603926869831
"781793",33.004,11.81,6.22,0.429752280002408
"781796",33.068,11.819,6.21,0.45178643552429
"781798",33.134,11.804,6.12,0.413299764081252
"781801",33.288,11.759,5.98,0.403120521175818
"781804",33.344,11.75,6.15,0.418301291319745
"781807",33.3,11.725,6.15,0.399673721481038
"781809",33.321,11.716,6.06,0.369215857410143
"781812",33.357,11.72,6.04,0.332438459915605
"781814",33.351,11.711,6.05,0.285557309007774
"781816",33.535,11.661,6.1,0.372912002970107
"781819",33.543,11.666,5.89,0.372912002970107
"781821",33.56,11.655,5.75,0.359835482339888
"781823",33.692,11.637,5.94,0.399673721481038
"781826",33.694,11.633,5.95,0.369215857410143
"781829",33.751,11.609,5.99,0.372912002970107
"781831",33.772,11.6,5.93,0.363611979892144
